City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.15,95,95,14.28,TF,2023-12-08
1,jamestown,42.097,-79.2353,3.77,92,75,1.54,US,2023-12-08
2,oulmes,33.4258,-6.0014,10.56,91,100,2.07,MA,2023-12-08
3,pionerskiy,54.9508,20.2275,-3.09,85,94,7.16,RU,2023-12-08
4,el calafate,-50.3408,-72.2768,16.65,51,56,3.52,AR,2023-12-08
5,waitangi,-43.9535,-176.5597,14.34,69,51,7.99,NZ,2023-12-08
6,westport,41.1415,-73.3579,3.21,82,100,2.57,US,2023-12-08
7,nadym,65.5333,72.5167,-19.88,97,100,6.74,RU,2023-12-08
8,obigarm,38.7173,69.7088,6.43,38,100,1.41,TJ,2023-12-08
9,copala,16.65,-98.9833,26.4,77,75,2.15,MX,2023-12-08
10,stanley,54.868,-1.6985,4.6,96,100,4.12,GB,2023-12-08
11,pombas,17.1503,-25.0201,22.88,74,3,5.86,CV,2023-12-08
12,adamstown,-25.066,-130.1015,22.99,78,68,5.27,PN,2023-12-08
13,grytviken,-54.2811,-36.5092,-1.17,92,49,4.44,GS,2023-12-08
14,lebu,-37.6167,-73.65,12.61,86,0,6.78,CL,2023-12-08
15,ribeira grande,38.5167,-28.7,19.32,96,100,9.83,PT,2023-12-08
16,coquimbo,-29.9533,-71.3436,15.77,84,12,1.98,CL,2023-12-08
17,yeppoon,-23.1333,150.7333,27.88,61,38,8.16,AU,2023-12-08
18,bethel,41.3712,-73.414,1.97,83,75,2.57,US,2023-12-08
19,ushuaia,-54.8,-68.3,8.81,68,0,8.75,AR,2023-12-08
20,uturoa,-16.7333,-151.4333,27.38,77,38,5.06,PF,2023-12-08
21,hermanus,-34.4187,19.2345,19.31,73,44,3.42,ZA,2023-12-08
22,margaret river,-33.95,115.0667,16.76,58,32,5.39,AU,2023-12-08
